date,tags
2011-02-27 22:12:57 GMT,"Fan Fiction, Kradam, Kris Allen, Adam Lambert, Hurt/Comfort, Friendship, Bromance, Romance, Rape Recovery, Understandings, wordcount: 1.000-3.000"
2011-02-27 06:49:00 GMT,"drabble, flashfiction365, hurt/comfort, prompt, robots, say it again, vignette, prose, scifi"
2011-01-28 18:45:46 GMT,"fanfiction recs, Sherlock, hurt/comfort, John Watson, someone needs hugs"
2011-01-17 11:40:26 GMT,"Glee, fanfiction, Kurt, Wes, hurt/comfort, fic rec"
2011-01-15 20:09:00 GMT,"30 Seconds To Mars, drama, hurt/comfort, jared leto, ofc, rated R, rated X"
2011-02-27 22:12:57 GMT,"Fan Fiction, Kradam, Kris Allen, Adam Lambert, Hurt/Comfort, Friendship, Bromance, Romance, Rape Recovery, Understandings, wordcount: 1.000-3.000"
2013-12-31 14:52:17 GMT,"rumbelle, once upon a time, angst, romance, hurt/comfort"
2013-12-31 00:14:41 GMT,"stony, get together, wall-e au, hurt/comfort, fluffy ending"
2013-12-30 20:38:03 GMT,"mtmte, tailgate, cyclonus, galvatron, hurt/comfort"
2013-12-30 19:08:36 GMT,"ao3, 4k, one shot, hurt/comfort, angst, fluff, uni au"
2013-12-29 09:58:19 GMT,"whump, hurt/comfort, dean winchester, hurt dean"
2013-12-29 05:36:40 GMT,"whump, hurt/comfort, bbc sherlock"
2013-12-27 02:37:00 GMT,"SPNfanfic, Dean Winchester, Castiel, hurt/comfort, college au, pre-destiel, sick!Dean, nephilimsgrace writes things"
2013-12-26 01:24:32 GMT,"fic rec, hurt!stiles, hurt/comfort, babbling!stiles, hypothermia, christmas, scott brotp, sheriff stilinski, preslash, winter, stiles pov, canon divergent, after season two, general, count: under 5k, one shot"
2013-12-24 06:48:00 GMT,"reality, hurt/comfort, one shot, masterpost, smut, larry fic rec, tumblr"
2013-12-24 03:51:57 GMT,"asks and answers, personal, hurt/comfort, hurt comfort, the psychology of comfort and why it's a clusterfuck for some people"
2013-12-22 20:21:05 GMT,"00q, quartermaster, skyfall, james bond, hurt/comfort, tw: past abuse, tw: abuse"
2013-12-22 18:43:28 GMT,"star trek, voyager, voyager fanfic, seven of nine, hurt/comfort, fanfic, when Seven regenerates she goes to Infinite Fun Space"
2013-12-20 20:49:44 GMT,"my fic, hunters, hurt/comfort, john/sherlock"
2013-12-20 03:36:32 GMT,"supernatural, destiel, bottom!dean, hurt/comfort, nc17, s8, s9, mpreg, numb!cas, BAMF!cas, asexual!cas, Valyria, Grey, fallen!cas, favorite, favorite sex scene"
2013-12-19 20:20:00 GMT,"hurt!sam, h/c, hurt/comfort, im 100% about this life, dont say sammy!verse or heart!verse bc son i live there, where do u think the need for more came from, oh and if cas is also there comforting and cuddling sam like w o w that is literally the most perfect thing, my needs as a fan fiction & hurt!sam addict"
2013-12-17 03:26:00 GMT,"chrisdanny, bravest warriors, hurt/comfort, jolly-little-miss-lablone, fanfic, obsidian writes"
2013-12-16 23:37:00 GMT,"Sam Winchester, hurt/comfort, SPN fan fic"
2013-12-16 20:28:00 GMT,"cockles, cockles fic, angst, hurt/comfort, slow burn, WIP, my fic"
2013-12-16 17:56:11 GMT,"tw: suicidal thoughts, christmas fic, johnlock, hurt/comfort"
2013-12-16 02:30:00 GMT,"hurt/comfort, larry fluff, larry angst, depressed!louis, protective!niall"
2013-12-15 08:11:00 GMT,"whump, whumpage, h/c, hurt/comfort"
2013-12-14 22:53:26 GMT,"ethanyar, almost human, jorian, hurt/comfort, kidnapping, prompt fill, almost husbands, Rudy is a BAMF, holy shit I'm on a roll, my fic"
2013-12-14 17:43:00 GMT,"star trek fic, kirk x mccoy, fic rec, kirk/mccoy, hurt/comfort, jim taking care of bones, anon reply"
2013-12-12 18:30:47 GMT,"fic rec, canon divergent, hurt!derek, hurt!stiles, hurt/comfort, derek pov, mates, derek cooks, stiles cooks, dereks emotional pain, journals, friends to lovers, evil alpha pack, season three, count: under 5k, not rated, one shot"
2013-12-11 10:51:00 GMT,"httyd, hurt/comfort"
2013-12-10 21:15:56 GMT,"whump, whumpage, fanfiction, hurt/comfort"
2013-12-09 21:31:00 GMT,"glee 5x08, hurt/comfort, I haven't seen it yet but ooh, my expectations have been raised, I have a feeling I am going to be sorely disappointed, pretty sure you've oversold it based on what I've heard in general, but srsly, ninety percent of the time people are triggered by Glee I end up loving the scene, and finding it rich and emotionally satisfying, p.s. I am listening to Promiscuous Girl right now and these lyrics seemed apt"
2013-12-09 00:35:00 GMT,"destiel, hurt/comfort, honey drabbles, destiel ficlet"
2013-12-08 18:30:45 GMT,"fic rec, canon divergent, after season two, mates, hurt/comfort, bruises, side berica, creepy peter, derek pov, pack, pack training, one shot, count: under 5k, not rated"
2013-12-05 23:28:00 GMT,"agents of shield, skyeward, hurt/comfort, feels, meta thoughts, teruel_a-witch, ohmycheese, vesperass writes things, one that katya fed with her excellent meta"
2013-12-05 20:00:55 GMT,"november bet, hurt/comfort, h/c"
2013-12-05 15:44:12 GMT,"fanfiction, Hurt/Comfort, angst, Fluff, it just hurts and i dont know why"
2013-12-05 03:42:00 GMT,"MegaStar fanfic, Hurt/comfort, romance, TF g1, TEARS, ficlet, slash"
2013-12-04 06:39:00 GMT,"sansan, sansan fanfiction, sandor clegane, sansa stark, hurt/comfort, tw: attempted rape, tw: violence, does a asoiaf fic really need a violence trigger warning?, I'm putting it anyways, just to be safe"
2013-12-04 04:40:00 GMT,"naruto, Naruto fanfiction, HidanxOC, Hurt/comfort"
2013-12-04 03:07:00 GMT,"one shot, hurt/comfort, masterpost, larry fic rec, au, angst, ao3"
2013-12-03 12:03:20 GMT,"just 'cause, hurt/comfort, supernatural, SamnDean"
2013-12-03 00:15:37 GMT,"stony, tw: mentions of suicide, tw: suicial thoughts, hurt/comfort, get togther, Tony needs a hug"
2013-12-02 01:35:23 GMT,"hurt/comfort, tropes, darcy lewis, help, suis malade"
2013-12-01 23:11:00 GMT,"hurt/comfort, mental illness, ptsd, tw: ptsd, tw: anxiety, tw: abuse"
2013-11-30 20:17:36 GMT,"fav, one shot, hurt/comfort, masterpost, larry fic rec, ao3"
2013-11-30 18:35:11 GMT,"sterek, au, under 50k, BAMF!Stiles, hurt/comfort, fluff, Happy Ending, humor, kid fic, slow build, weddings, OMC, OFC"
2013-11-30 16:20:28 GMT,"Naruto, fanfiction, Hidan, OC, hurt/comfort, Music, highschool, friendship, KonohaEleven, Depression"
2013-11-28 23:41:27 GMT,"ot5, ot5 liam centric, liam centric, mature, hurt/comfort, fic rec, ficrec, ot5 ficrec"
2013-11-28 20:21:32 GMT,"sterek, au, under 15k, futurefic, hurt/comfort, angst, BAMF!Stiles, pining, switchPOV, violence, Happy Ending"
2013-11-27 20:21:57 GMT,"sterek, under 5k, Fox!Stiles, hurt/comfort, mates, mpreg, established relationship, KidFic, pack fic, canon divergence"
2013-11-27 14:34:24 GMT,"prose, drabble, angst, hurt/comfort, dead, manipulation"
2013-11-25 11:55:00 GMT,"ayakashi, ayakashi ghost guild, ayakashi: ghost guild, hurt/comfort, drabble"
2013-11-23 21:04:00 GMT,"shirogane no ou, hurt/comfort, bodyguards, i know exactly one other person in this fandom, self-indulgence is my second name, babiessss, november bet"
2013-11-23 18:50:00 GMT,"destiel, dean winchester, castiel, hurt/comfort, fanfic, destiel fanfic, archive of our own, supernatural, my fic, fluff, smut, fluff and smut, cas"
2013-11-18 03:50:47 GMT,"destiel, fanfiction, supernatural, love, hurt/comfort"
2013-11-18 02:11:43 GMT,"sherlock, omegle, sherlock rp, johnlock, hurt/comfort, I make a halfway decent john if I do say so myself, ahhh Iw ould give anything to find this person again and continue where we left off, please tell me you didn't leave because of what I said, it was meant to be in character, because john's always like 'what do you need me for' and sherlock's like 'it was convenient', but the subtext says 'i like u ok now shuddup', wahhh"
2013-11-17 02:12:49 GMT,"ilarual, hurt/comfort, sfw, Mercury Soul"
2013-11-14 01:20:29 GMT,"Wincest, hurt/comfort, migraines, Sam Winchester, Dean Winchester, spn"
2013-11-13 04:22:00 GMT,"Dusty fic, because WHAT HAPPENED during the night that Dean and Cas were together before Dean drove Cas to his job in the morning??, Dusty asks the burning questions, hurt/comfort, yessss, Supernatural spoilers, 9x06"
2013-11-12 00:03:12 GMT,"whump, whumpage, hurt/comfort, h/c"
2013-11-11 22:07:32 GMT,"AO3, original fiction, original work, nanowrimo, hurt/comfort"
2013-11-11 16:24:00 GMT,"bencutio, i'm so sorry i don't even know what i'm doing, but i couldn't help myself, hurt/comfort, my fic, sky writes"
2013-11-10 02:10:54 GMT,"mercury soul, hurt/comfort, sfw, character death cw"
2013-11-08 15:01:02 GMT,"wild kratts, chris kratt, kate corcovado, one shot, hurt/comfort, family, sweet"
2013-11-07 17:04:30 GMT,"hurt/comfort, death, charactor death, illness, sickness, cancer, sad ending, sad"
2013-11-06 08:58:00 GMT,"hurt/comfort, fiction, Jeff and Jim, In NO way my best work and that's sad, MAY RE-WRITE THAT, This needed to be posted though"
